figure	title	file	size	mean_rgb	transparent
2.1	start_repeated_start_stop	fig_2_1_start_repeated_start_stop.png	1070x452	0.0	95.1%
2.2	i3c_low_handoff	fig_2_2_i3c_low_handoff.png	1229x730	0.3	96.5%
2.3	i3c_read_takeover	fig_2_3_i3c_read_takeover.png	1229x691	0.3	96.5%
2.4	sdr_private_write_read	fig_2_4_sdr_private_write_read.png	1110x580	52.9	73.1%
2.5	entdaa_frame	fig_2_5_entdaa_frame.png	949x417	42.9	78.0%
2.6	enec_disec_frames	fig_2_6_enec_disec_frames.png	1041x412	61.2	70.2%
3.1	controller_architecture	fig_3_1_controller_architecture.png	1466x596	1.4	96.3%
3.2	csr_fifo_handshake	fig_3_2_csr_fifo_handshake.png	2502x349	6.1	93.4%
3.3	transaction_processor_flow	fig_3_3_transaction_processor_flow.png	2411x1956	15.7	90.7%
3.4	entdaa_processor_flow	fig_3_4_entdaa_processor_flow.png	777x1943	9.6	93.1%
4.1	uvm_architecture	fig_4_1_uvm_architecture.png	2489x617	3.5	96.6%
4.2	scoreboard_flow	fig_4_2_scoreboard_flow.png	1188x490	86.8	63.5%
4.3	virtual_sequence_coordination	fig_4_3_virtual_sequence_coordination.png	1496x1120	122.5	48.4%
5.1	i3c_write_waveform	fig_5_1_i3c_write_waveform.png	1475x255	13.3	55.4%
5.2	i3c_read_abort_waveform	fig_5_2_i3c_read_abort_waveform.png	1475x255	12.9	55.2%
5.3	enec_broadcast_waveform	fig_5_3_enec_broadcast_waveform.png	1475x257	12.9	54.9%
5.4	enec_direct_waveform	fig_5_4_enec_direct_waveform.png	1475x255	13.2	54.2%
5.5	entdaa_part1_waveform	fig_5_5_entdaa_part1_waveform.png	1475x255	13.1	54.5%
5.6	entdaa_part2_waveform	fig_5_6_entdaa_part2_waveform.png	1475x253	13.2	55.7%
5.7	entdaa_part3_waveform	fig_5_7_entdaa_part3_waveform.png	1475x257	12.9	55.0%
5.8	i2c_write_waveform	fig_5_8_i2c_write_waveform.png	1475x255	12.6	55.6%
